"BitGrail owner asked to repay â¹1,200-cr lost cryptocurrency ","An Italian court directed Francesco Firano, owner of cryptocurrency exchange BitGrail, to repay cryptocurrency worth over â¹1,200 crore, which went 'missing' last year, as per a BitGrail victims advocacy group. The court ordered BitGrail to be declared bankrupt, allowing the seizure of assets from its exchange accounts. Firano's personal assets worth over â¹7 crore were also reportedly seized."
Malaysia startup makes world's 1st Shariah certified browser,"Malaysia-based startup SalamWeb has created a new mobile and desktop browser which they claim is the ""world's first Shariah certified web browser"". The browser contains features like prayer-timers, a compass which points to Mecca and filters which avoid alcohol and pork-related businesses. It is endorsed by the independent global Shariah advisory firm Amanie Shariah Supervisory Board."
Will divorce BJP if reservation demand not met: SBSP,"Suheldev Bhartiya Samaj Party chief OP Rajbhar said that if BJP doesn't implement report on division of reservation to backward classes, then it will ""give divorce"" to the party.  Disagreeing with the 10% quota to economically weaker section, he added, ""There are poor in every category, what about them?"" Rajbhar has given an ultimatum till February 24 for the same."
GM chickens that can lay eggs with anti-cancer proteins made,"Edinburgh University's Roslin Institute researchers have genetically modified (GM) chickens to lay eggs that contain proteins that are used in drugs to treat some cancers and arthritis. The chickens were modified to produce human protein IFNalpha2a which has anti-cancer effects. ""Production (of drugs) from chickens can cost anywhere from 10 to 100 times less than the factories,"" a researcher said."
"Centre approves â¹7,000 cr disaster relief aid for 6 states","The Centre on Tuesday approved additional Central assistance of â¹7,214.03 crore from the National Disaster Response Fund (NDRF) to six states and one union territory. The fund was sanctioned to Himachal Pradesh, Uttar Pradesh, Andhra Pradesh, Karnataka, Maharashtra, Gujarat, and Puducherry. Maharashtra received an assistance of â¹4,714.28 crore for being affected by drought during 2018-19.  "
Child marriage is a dangerous burden: Lok Sabha Speaker,"Addressing a summit at the Parmarth Niketan Camp in Kumbh Mela, Lok Sabha Speaker Sumitra Mahajan on Monday described child marriage as a dangerous burden on girls. Mahajan added, ""A girl who is not physically or mentally ready, is not mature and does not understand the world must not be burdened with marriage."" "
NIA arrests two men in connection with Burdwan blasts,"The National Investigation Agency in Kolkata has arrested a 32-year-old suspected militant named Kadar Kazi in connection with the Burdwan blasts case. His associate Sajjad Ali, who was involved in activities of Jamaat-ul-Mujahideen Bangladesh (JMB), was also arrested. Notably, an explosion had occurred at a house in Burdwan in 2014, following which IEDs and Taliban training videos were recovered."
"Honor View20 unveiled, to go on sale in India from Jan 30","Honor View20 launched in India at a starting price of â¹37,999 and will be available for sale starting January 30 on Amazon.in and their official website hihonor.in. It's the world's first smartphone to feature a 48-megapixel camera and also comes with a punch-hole design that extends the display area to 91%"
Dad has secret Instagram account to stalk me: Kumar Birla's daughter,"In an Instagram post for Aditya Birla Group Chairman Kumar Mangalam Birla, singer-songwriter Ananya Birla wrote, ""Papa, you can see this (post) from your secret account that you created just to stalk me."" ""I don't understand how he understands me so deeply...He tried his best to match his tie to the colour of my gown...and he almost succeeded,"" she added."
"Kangana's game brutal, gets you thrown out of film: Simran writer","'Simran' writer Apurva Asrani in a tweet said, ""Kangana Ranaut's game is brutal. She first plays the victim and wins your trust...Then when you're ready with a film...she has you thrown out."" He added that ""she uses the press and trolls to character assassinate you"". Notably, Apurva had accused Kangana of lying about co-writing the script of 'Simran'."
Mark Waugh calls Brendon McCullum a 'lucky c**t' on live TV,"Former Australia batsman Mark Waugh called former New Zealand captain and Brisbane Heat batsman Brendon McCullum a ""lucky c**t"" during a Big Bash League chat show on live TV. Waugh was talking about McCullum's favourite hobby outside of cricket, horse racing, when he uttered the word. ""He loves his horses. Good punter. He's a lucky c***...lucky punter too,"" Waugh said."
Controversy will help Pandya scale new heights in his career: Kohli,"Following Hardik Pandya's return from suspension after his comments on women on 'Koffee with Karan', India captain Virat Kohli said that the controversy will help the 25-year-old all-rounder scale new heights in his career. ""He's in a good headspace. I hope he goes on...right path and emerges as a better cricketer and I think he can do that,"" added Kohli."
Was Rahul surrounded by commandos while being fed milk: BJP leader,"In an apparent attack on Congress President Rahul Gandhi, Gujarat BJP chief Jitu Vaghani said, ""He was born with commandos around his cradle...I'm not sure if commandos were there when he was being fed milk."" Congress said his remark reflected BJP leaders' ""low-level mentality"". Vaghani later apologised, saying his remarks were misconstrued and he was just highlighting the ""VIP culture""."
"Policeman showers cash at schoolgirls on R-Day, suspended","A police head constable has been suspended for showering money on girl students during a dance performance at a Republic Day function in a school in Nagpur. The head constable, Pramod Walke, was reportedly in an inebriated condition when the incident occurred. The matter came to light when a video of the incident was shared online."
Editors Guild criticises ban on 6 journalists at J&K R-Day event,"After six journalists were not allowed to enter the Republic Day function in Srinagar despite having entry passes, Editors Guild of India said, ""It is shocking...This is an unprecedented state-sponsored attack on freedom of press."" The police said the journalists were stopped after an ""adverse"" report was received from CID. Several other journalists did not cover the event in protest."
Yeh PUBG wala hai kya? PM Modi to student's mom on game addiction,"After a Class 9 student's mother told him her son was avoiding studies due to online games and asked for a solution during 'Pariksha Pe Charcha 2.0', PM Narendra Modi responded, ""Yeh PUBG wala hai kya?"" ""Explore ways...to...encourage your children towards...understanding technology. But remember...technology should be used to expand our horizons, not to let it shrink us,"" PM Modi added."
Govt asks SC to return 67-acre non-disputed Ayodhya land to owners,"The Centre on Tuesday moved the Supreme Court to seek permission for lifting the status quo on non-disputed land around the disputed Ayodhya site and hand over the excess land to its original owners. The Centre had acquired 67 acres land around the 2.77 acre disputed Ram Janambhoomi-Babri Masjid site. In 2003, the court ordered to maintain the status quo."
"Teen kills elderly couple, plays games on their phone before leaving","A 17-year-old boy has been arrested for allegedly robbing and killing an elderly couple in Delhi. Police said that according to CCTV footage, the accused, who was the son of the elderly couple's masseuse, stayed inside the house for almost 24 hours, during which he killed the couple. He spent the night playing games on the couple's phones, police claimed."
"Man who wished for daughter kidnaps girls, returns them home","A 40-year-old man was arrested after he allegedly kidnapped two eight-year-old girls within a span of two months and returned them to their homes, Delhi Police said. The accused, who has two sons, reportedly did not harm the girls and told his family they were his colleagues' children after taking them home. He later told authorities he'd wanted a daughter. "
People got chance to take out anger: Aamir on 'Thugs...' failure,"Aamir Khan, who took the full responsibility for the failure of his film 'Thugs of Hindostan', said, ""I didn't give a flop film since a long time! So people got an opportunity to take out their anger."" ""The audience has full right to say exactly what they want and...can be harsh in their criticism, that's their right,"" he added."
'Poo' from 'Kabhi Khushi...' was way ahead of time: Kareena,"Actress Kareena Kapoor Khan has said that her character 'Poo' in 2001 film 'Kabhi Khushi Kabhie Gham...' was way ahead of its time. ""It was such a bold character. I don't think any Indian actor could think of doing it...I think 'Poo' is a character that can't be replaced. It can't be done again on screen,"" the actress added."
Ayushmann to play policeman in Anubhav Sinha's film: Reports,"Actor Ayushmann Khurrana will be seen playing the role of a policeman in Anubhav Sinha's film titled 'Kanpur Dehaat', as per reports. 'Kanpur Dehaat' will be based on a true incident and Ayushmann will play a cop for the first time, reports suggested. The film, which will be shot in Kanpur, is reportedly based on a socially-relevant topic. "
Easy to make solo films as there are no flying egos: Emraan,"Emraan Hashmi, who made his Bollywood debut in 2003 with multi-starrer 'Footpath', has said that it is easier to make solo lead films as there are no ""flying egos"" on the sets. ""These times are the toughest to make ensemble films...It's more to do with ego management of actors on board...So it becomes tough for the producer,"" the actor added."
Over 50 AAP MLAs refuse to declare assets to Lokayukta,Over 50 Aam Aadmi Party MLAs have refused to declare their assets and liabilities to Lokayukta on Monday. The MLAs instead sent their notices to Lokayukta stating that it lacks jurisdiction over the matter. AAP spokesperson Saurabh Bharadwaj said that AAP will support the filing of assets and liabilities when the Centre makes it compulsory under Lokpal and Lokayukta Act.
Siddaramaiah's mic snatching is Cong's double standards: Minister,"After a video of Congress leader Siddaramaiah 'misbehaving' with a party worker surfaced online, Minister of State Mahesh Sharma said, ""It is one of the double-standards of the party."" ""On one hand they call themselves protectors of women rights and dignity while their leaders misbehave with women,"" he added. In the video, Siddaramaiah was seen snatching a woman complainant's mic."
Fadnavis wants to show how desperate Sena is for tie-up: Cong,"After Maharashtra Chief Minister Devendra Fadnavis claimed BJP is not ""desperate"" for an alliance with Shiv Sena, state Congress president Ashok Chavan said, ""Fadnavis wanted to show how desperate Shiv Sena is for an alliance."" Earlier, Fadnavis had claimed BJP wanted to enter into an alliance with Shiv Sena but could take on Congress-NCP combine on its own as well. "
Rahul will visit Atal Setu once he becomes PM: Congress,"Goa Congress President Girish Chodankar on Monday said party chief Rahul Gandhi will visit the Atal Setu bridge after he becomes Prime Minister. Chodankar made the statement after BJP invited Rahul, who is vacationing in Goa, to visit the bridge. Chodankar added, ""Atal Setu is a bridge of corruption... There was no point of inviting Rahul to visit the bridge."""
12 dead after head-on collision between 2 cars in MP,"As many as 12 people, including three children, were killed on Monday after two cars had a head-on collision in Madhya Pradesh's Ujjain. The deceased, who were residents of Tilakeshwar Colony, were reportedly returning home after attending a marriage function in Nagda. One person sustained injuries and investigation into the matter is underway, police said. "
"Woman, her 4 kids killed in Odisha for witchcraft; 6 held","Police in Sundargarh, Odisha on Monday arrested six people on charges of killing a woman and her 4 children on suspicion of witchcraft. The main accused Budhram Munda, who called himself a âwitch doctorâ, suspected the woman of casting a ""spell"" on another accused's family. The accused then killed them and threw their bodies in a nearby well, police said."
"5 Maoists killed, 1 other injured in encounter in Jharkhand","At least five Maoists have been killed and one suffered injuries after an encounter with security forces in Jharkhand's West Singhbhum district on Tuesday. The Commando Battalion for Resolute Action (CoBRA) and Jharkhand Police launched a special operation to target Naxals in the area, police said. No security personnel involved in the operation has been reported injured so far. "
"NRC an electoral gimmick, wonât allow it in Bengal: Mamata","West Bengal CM Mamata Banerjee on Monday called the National Register of Citizens (NRC) an ""electoral gimmick"". ""If one canât produce their birth certificate then that person will be driven out in the name of NRC,"" she further said. She added that people should not worry about it as she will not let anyone implement it in West Bengal. "
325 children rescued under 'Operation Smile' in Hyd in Jan,"As many as 325 children were rescued as part of 'Operation Smile' in Hyderabad since 1 January, Commissioner of Police Anjani Kumar said on Monday. ""Of these, 53 children were admitted to rescue homes and 272 handed over to their parents,"" Kumar added. 'Operation Smile' is a month-long programme to rescue missing children, child labourers and children engaged in begging."
"Coca-Cola, HÃ¤agen-Dazs items to get reusable packaging ","Zero-waste online shopping project Loop, which debuted in the World Economic Forum 2019 in Davos, will sell products from companies, including Coca-Cola and HÃ¤agen-Dazs, in reusable packaging. As part of the pilot program, 300 items will be added to Loop's website. Users can place products after consumption in a 'Loop tote', which will then be collected, cleaned and reused."
Former Defence Minister George Fernandes passes away aged 88,"Former Defence Minister George Fernandes passed away on Tuesday in Delhi at the age of 88. Fernandes, who also served as the Railways Minister in former Prime Minister VP Singh's government, had been diagnosed with Alzheimer's disease. His last stint as a parliamentarian was as a Rajya Sabha MP between August 2009 and July 2010."
Men masturbate to my waist pics: Chinmayi on not wearing saree,"Responding to a fan's request to wear saree in public, singer Chinmayi Sripaada said, ""Groups of men...take photographs of my waist + side of my chest, circle it and upload it on soft porn websites."" ""I get messages on how they're masturbating to it,"" she said. ""I can be Indian in a sari and in jeans,"" she added.  "
'World's loneliest duck' dies after attack by dogs,"Trevor, dubbed the world's loneliest duck, has died after being attacked by dogs on the remote Pacific island nation of Niue, a Facebook page dedicated to the duck said. Trevor is thought to have arrived on Niue, 2,400 kilometres northeast of New Zealand, during a storm in 2018. He was the only member of his species living on the island."
"Called mom after Aus Open win, she yelled at me to go sleep: Osaka","Talking about her Australian Open triumph, world number one Naomi Osaka revealed she called her mother after giving interviews following her victory but she didn't even congratulate her. ""She just yelled at me to go to sleep. So I felt really loved,"" the 21-year-old added. Osaka is the first Asian tennis player to top the men's or women's rankings."
Hardik Pandya will get you some impossible catches: Sunil Gavaskar,"Sunil Gavaskar has welcomed Hardik Pandya's return to Team India playing XI, saying his presence covers all bases for the team. ""He'll get you some impossible catches, get you some terrific run-outs and then with the bat and the ball, he does well,"" Gavaskar added. Pandya took a diving catch and picked up two wickets against New Zealand on Monday."
Not too bad: Novak Djokovic imitates journalist's Italian accent,"During the press conference after his record seventh Australian Open title victory, Novak Djokovic imitated an Italian journalist's accent while the latter was asking him a question. ""Congratulations...okay...7 Australian Opens, 15 Grand Slams,"" the journalist said before Djokovic interrupted, saying, ""Not too bad,"" in Italian accent. The entire room burst into laughter after listening to Djokovic's Italian accent."
The game will reward you only if you respect it: Kohli on Pandya,"After all-rounder Hardik Pandya took two wickets against New Zealand on his return to Team India playing XI after suspension on Monday, captain Virat Kohli said he hopes Pandya emerges as a stronger cricketer. ""If you respect the game, only then it will reward you,"" Kohli added. ""I hope he turns around his career in a positive way,"" he added."
Dubai Airport ranked world's busiest int'l airport for 5th year,"Dubai International Airport has said that it retained its position as the world's busiest airport for international travel for the fifth consecutive year in 2018. Passenger traffic at the airport rose to over 8.9 crore in 2018. India remained the biggest source of traffic, accounting for more than 1.2 crore passengers."
Country suffers from ODOMOS: Omar after Shah's 'OROP' remark,"Former Jammu and Kashmir CM Omar Abdullah on Monday took a dig at PM Narendra Modi and BJP President Amit Shah saying the country is suffering from ""too much ODOMOS - overdose (of) only Modi only Shah"". His comment came after Shah said that for Congress party, OROP means 'only Rahul, only Priyanka'. OROP originally means 'One Rank, One Pension'."
Congress MP Mausam Noor joins TMC ahead of Lok Sabha polls,"Congress MP Mausam Noor on Monday joined the Trinamool Congress (TMC) in the presence of West Bengal CM Mamata Banerjee. ""I'm inspired by Didi (Mamata). I'll work under her guidance for...development of the state,"" the MP from Malda (North) said. She further said she is confident that the TMC will win all 42 seats in Bengal in the upcoming polls."
Many senior BJP members expected to join AAP: Raghav Chadha,"Aam Aadmi Party (AAP) leader Raghav Chadha on Monday claimed that several senior and veteran BJP members in South Delhi constituency were eager to join his party ahead of the 2019 polls. Two BJP leaders, former councillor Dharamveer Awana and Raju Nirmal, joined the AAP on Monday. The BJP members have been influenced by AAP's ideology and work, Chadha said."
21-year-old DU student ends life after friend didn't pick calls,"A 21-year-old student who was pursuing LLB from Delhi University was found hanging in the room of her paying guest accommodation in Noida on Sunday night. She allegedly committed suicide after a man whom she had befriended online didn't pick her calls following an argument, the police said. Her parents haven't filed a complaint, the police added."
"U'khand officer gets R-Day award, removed for corruption hours later","Chief Education Officer Jagmohan Soni from Uttarakhand's Almora was sacked from his position over allegations of corruption, hours after receiving the Chief Minister's award for excellence and good governance on Republic Day. The officer has been attached to the education directorate in Dehradun. Meanwhile, Soni has denied the charges levelled against him, calling them baseless."
"UP Cabinet to meet at Kumbh Mela for 1st time, and watch 'Uri' later",Uttar Pradesh CM Yogi Adityanath will hold the Cabinet meeting on the banks of the Sangam at the Kumbh Mela in Prayagraj for the first time on Tuesday. State Cabinet minister Sidharth Nath Singh said the ministers will also watch the movie 'Uri: The Surgical Strike'. The ministers are also expected to take a dip at the confluence.
Things are running in auto mode for us: Virat Kohli,"After India clinched the New Zealand ODI series, Indian captain Virat Kohli said, ""Now things are more or less running in auto mode for us."" Speaking about the batting unit, Kohli said, ""Number four is a position that we are looking to solidify but when (Ambati) Rayudu starts playing like that, you start feeling more confident about the batting line-up."""
Absolutely terrific: Gavaskar lauds Hardik's performance,"Former Indian cricketer Sunil Gavaskar praised Hardik Pandya's performance in the 3rd India-New Zealand ODI, saying, ""Terrific performance, absolutely terrific performance. It's never easy."" Gavaskar further said, ""He is a young man, he has had things that have happened and he just wants to forget it. The best way to forget it is being out on the field."""
No telecast of Real Kashmir vs Chennai City due to snow,"The I-League organisers said on Monday that the fixture between Real Kashmir and Chennai City could not be telecast or live streamed due to 'adverse climatic conditions'. ""It's been snowing heavily in the northern part of India. The OB Van of Star Sports is stuck in Shimla for last one week because of this,"" I-League tweeted."
Saurashtra captain backs inclusion of DRS in domestic cricket,"Speaking about the introduction of DRS technology in the Indian domestic circuit, Saurashtra captain Jaydev Unadkat said, ""We have seen how DRS has helped teams with decisions in the international level."" Saurashtra batsman Cheteshwar Pujara was twice given a reprieve after having edged the ball to the wicket-keeper in the Ranji Trophy semi-final between Saurashtra and Karnataka."
Dropbox to buy eSignature startup HelloSign for $230 million,"American online file-sharing platform Dropbox has entered into an agreement to acquire electronic signature startup HelloSign for $230 million. The all-cash deal is expected to close in the first quarter of 2019. Founded by Joseph Walla and Neal O'Mara, the US-based startup HelloSign also offers digital workflow and electronic fax solutions to manage business transactions."
Antibiotic-resistant superbug gene found in Arctic region,"Antibiotic-resistant genes (ARGs) linked to superbugs have been found in remote High Arctic region after first being detected over 12,000 kilometres away in India, nearly a decade ago. Researchers confirmed presence of ARGs after collecting 40 soil samples from Svalbard's Kongsfjorden region. They predict it likely transported to the Arctic in the gut of migratory birds, humans or other animals."
"I prefer writing 'Mamata', donât want to use surname: WB CM","Speaking at a government program, West Bengal Chief Minister Mamata Banerjee said that she prefers to use ""only Mamata"" and not her surname. ""We should be known by what we do and not by our name,"" she added. ""The bank account has my surname since it was done earlier,"" she further said. n"
She's like sister: Siddaramaiah on 'misbehaving' with woman,"After a video of former Karnataka CM Siddaramaiah 'misbehaving' with a party worker, Jamalar, surfaced online, Siddaramaiah called it an accident and said the woman is like her sister. ""I tried to stop our party worker (Jamalar) from taking more time...I've known her for 15 years,"" he added. Meanwhile, Jamalar said, ""I...spoke roughly. I shouldn't have spoken like that"".n"
Former finance panel chief pitches for 'Niti Aayog 2.0',"Former Finance Commission Chairman Vijay Kelkar has pitched for setting up 'Niti Aayog 2.0' for allocating capital and revenue grants to the states. He added that the 'new Niti Aayog' could remove structural issues including regional imbalances in the economy. Kelkar, however, said he is not suggesting that the new panel should take the form of the old Planning Commission."
Most Backward Classes to get 100 units free power: Andhra CM,"Andhra Pradesh Chief Minister Chandrababu Naidu on Monday announced that his government will provide 100 units free power to Most Backward Classes (MBCs). He added that the government would also give aid of up to â¹15 lakh to backward classes for foreign education. ""We will spread out the poverty eradication program under pro rata basis,"" he further said. n"
"US, Taliban agree to draft framework of Afghan peace deal","The US and Taliban agreed in principle to the framework of a peace deal that seeks to end the 17-year war in Afghanistan, the US Special Representative for Afghanistan Reconciliation, Zalmay Khalilzad, said. The Taliban committed to prevent Afghanistan from being used by terrorists as part of the deal, he added. The Taliban must agree to a ceasefire, Khalilzad said."
Zee Entertainment shares up 17% as firm issues clarification,"Zee Entertainment shares on Monday rallied 17% after it denied links with large deposits made after demonetisation. The Subhash Chandra-led group also said that the decline in shares will not lead to a default in repayment of loans. The group companies' market capitalisation fell nearly â¹14,000 crore last week after its name emerged in reports related to the deposits."
India-born one-time billionaire on trial for bribing doctors,"Indian-American pharma entrepreneur John Kapoor will go on trial this week in US for bribing doctors with cash, dinners and strippers. The one-time billionaire, who founded Insys Therapeutics, is accused of luring doctors into prescribing a highly addictive opioid painkiller meant for cancer patients, to increase its sales. Kapoor, who was the company's CEO, resigned following his arrest in 2017."
"He's the only one I dated, he didn't break my heart: Sara on Veer","Actress Sara Ali Khan has said that Congress leader Sushil Kumar Shinde's grandson Veer Pahariya is the only man she has dated in the past. Adding that Veer did not break her heart, Sara said, ""My heart has not broken. It is all good, I promise."" ""I have had no other boyfriends in my life,"" the actress further said."
"Saw Shubman bat, went 'Wow, I wasn't even 10% of that at 19': Kohli","Talking about 19-year-old batsman Shubman Gill, who was called up to India squad for the New Zealand series, India captain Virat Kohli said he is a ""very exciting"" talent. ""I saw him bat in the nets and I was like, 'Wow, I was not even 10% of that when I was 19',"" Kohli added. Shubman averages 77.78 in first-class cricket."
Former NZ pacer-turned-taxi driver retires from club cricket at 68,"Former New Zealand fast bowler-turned-taxi driver Ewen Chatfield has retired from club cricket at the age of 68. He represented Wellington club, Naenae Old Boys, for 51 seasons since 1968. Chatfield, who represented New Zealand in 43 Tests and 114 ODIs, said after playing for New Zealand over 60s team in Australia last year he knew it was the end."
Complaint against Kejriwal for 'misleading' calls to voters,"BJP's Manjinder Singh Sirsa has filed a complaint against Delhi CM Arvind Kejriwal for making 'misleading' calls to voters of his Rajouri Garden constituency claiming their names had been deleted from electoral rolls by the BJP. He added it's a ""conspiracy"" to defame him before voters of his constituency. AAP trying to ""lower my image"" in the constituency, he said."
Minimum Income Guarantee for poor if Cong wins 2019 polls: Rahul,"Congress President Rahul Gandhi during his visit to Chhattisgarh on Monday said that if voted to power in 2019, the Congress is committed to a Minimum Income Guarantee for every poor person to help eradicate poverty and hunger. ""We cannot build a new India while millions of our brothers & sisters suffer the scourge of poverty,"" he added."
Pak to resume talks with India only after polls: Minister,"Pakistan minister Fawad Chaudhry on Sunday said the country will try to resume peace talks with India only after the 2019 election results are out. He added, ""It is useless to talk to them (India) now unless there is some stability."" He said the Pakistan government would respect any Indian leader and the party elected by the Indian people."
"RSS worker faked own murder, killed labourer to use his body: Police","Police have said the murder of RSS worker Himmat Patidar in Madhya Pradesh's Ratlam was faked by him to claim â¹20 lakh life insurance he'd taken on his name. Patidar allegedly killed a labourer, burnt his face and tried to pass off the body as his own, police added. A â¹10,000 reward on information on Patidar was announced by police."
Groom treks for 6 kms in snow to reach wedding venue in Uttarakhand,"A groom and 25 family members trekked for over 6 kilometres in heavy snow on Friday to reach the wedding destination in Uttarakhand. After 80 people from the procession got stuck in traffic, the family decided to send only those needed for the rituals. ""If you see...pictures...you'd question whether they were even feeling cold, forget difficulty,"" said the groom's brother."
"Baby falls 50-ft from B'luru Metro escalator on road, dies","An 18-month-old toddler on Monday died after falling from the escalator at a Bengaluru Metro station onto the main road 50-foot below, an official said. The child, who was with her grandfather, suddenly slipped from his hand and suffered head injuries. ""It is advised that...parents take extra caution while using the Metro facilities with...children,"" Karnataka CM HD Kumaraswamy said."
Sister has right to do what she wants: Odisha CM on Padma Shri row,"Speaking on writer Gita Mehta's decision to decline Padma Shri award, Odisha CM Naveen Patnaik said his sister has the ""right to do whatever she desires"". Mehta turned down the award citing its timing ahead of the 2019 general elections. Mehta was named for the award in the 'Foreigners' category for her contribution to the field of art and literature."
Gender equality awards in UAE received entirely by men,"An annual gender balance awards in the UAE has been criticised as they were received entirely by men. Sheikh Mohammed bin Rashid Al Maktoum, the Vice President of the UAE, handed out awards in the categories of 'Best Personality Supporting Gender Balance', 'Best Federal Authority Supporting Gender Balance', and the 'Best Gender Balance Initiative' at a ceremony on Sunday."
3-yr-old US boy missing in woods for 2 days says bear kept him safe,A three-year-old boy who survived two nights alone in the woods in US' North Carolina told police and his family that he was kept safe by a bear. The boy was playing with two other children in his grandmother's backyard on Tuesday before he went missing. He was found entangled in shrubs by professional search and rescue teams on Thursday.
WWE releases video of Brock Lesnar throwing belt at V McMahon,"WWE has released a video of Brock Lesnar throwing his WWE Universal title belt at the current Chairman and CEO of WWE, Vince McMahon, who was sitting backstage. At Royal Rumble on Sunday, Brock Lesnar faced Finn Balor in a one-on-one match for the Universal title, which he won by getting Balor to tap out."
"Nepal beat UAE, win their first-ever ODI series","The Nepal cricket team beat UAE by four wickets in the third ODI to register their first-ever ODI series win on Monday. The match also witnessed Nepal captain Paras Khadka score the nation's first-ever ODI century, scoring a 109-ball 115. Nepal had earlier lost the first ODI of the three-match series. "
Ronaldo converts penalty to help Juventus beat Lazio 2-1,"Cristiano Ronaldo converted a penalty to seal a 2-1 win for Juventus against Lazio in Rome on Sunday to pull 11 points clear in the Serie A. Ronaldo, whose penalty was saved last week against Chievo, scored in his eighth consecutive away match to bring his league tally to 15 goals. Ronaldo is currently the league's second-highest goalscorer."
"14,200 HIV+ individuals' data illegally leaked: Singapore","Singapore's health ministry said details of 14,200 individuals, diagnosed with HIV, were ""illegally disclosed online"" by a US citizen. The ministry added the breach targeted data of Singaporean citizens diagnosed with HIV up to January 2013 and foreigners diagnosed with HIV up to December 2011. Last year, Singapore PM Lee Hsien Loong and 15 lakh citizens' healthcare data was stolen."
No truth: Paytm CEO on reports of scaling down Paytm Mall,"Paytm CEO Vijay Shekhar Sharma, denying reports of scaling down the startup's e-commerce unit Paytm Mall's B2C operations, said, there's ""no truth"" to these claims. The marketplace is expected to double gross merchandise value (GMV) to $2 billion by March this year, Sharma said. Referring to Paytm's wholesale B2B vertical, he added, it's ""budgeted to contribute...10-15% of total Mall GMV"". "
Nissan faces SEC probe in US over executive pay: Reports,"US financial regulator SEC is probing automaker Nissan reportedly over the disclosure of its executive pay in the US. This comes after the company's ousted Chairman Carlos Ghosn's arrest over allegations of under-reporting income. Nissan's CEO Hiroto Saikawa had said oversights in the company's corporate governance ""permitted the situation to continue, which clearly calls for grave reflection."""
No credence to rumours: Bhavin Turakhia on startup Flock sale,"Mumbai-based work messaging service startup Flock's Founder Bhavin Turakhia while denying reports of selling the startup to America's Dropbox said, ""There is no credence to the rumours"". He further added Flock is in talks with storage services provider Dropbox in connection with a potential partnership. ""Flock is aggressively expanding...there are no intentions to sell the company,"" Turakhia added."
"Thieves loot PNB Trichy branch, also take away CCTV footage","Burglars broke into a Punjab National Bank (PNB) branch in Tamil Nadu's Trichy district and escaped with jewellery worth over â¹5 crore, some cash and the CCTV footage. They gained entry into the bank by making a hole at the back of the building, the police said. The robbery was discovered on Monday when employees returned from their weekly holiday."
"Continue mine rescue efforts: SC to Centre, Meghalaya govt","The Supreme Court has asked the Centre and Meghalaya government to continue operations to rescue the miners trapped in a rat-hole mine in Meghalaya since December 13. The apex court was hearing a PIL seeking urgent steps for rescuing the miners. While the decomposed body of a miner has been retrieved, operation to pull out a second body is underway."
Unconstitutional if full budget is presented: Yashwant Sinha,"Amid reports that a full-fledged budget may be presented during the interim budget session, former Union Finance Minister Yashwant Sinha has said that doing so will be ""unconstitutional"". The government cannot present an economic survey, bring Finance Bill or introduce new services, he added. ""Those saying there's no rule against...full budget, why do we have Article 116"", he further said. "
No tennis for Karti if he evades ED: Supreme Court,"While hearing Karti Chidambaram's plea seeking permission to travel to France, Spain, Germany and the UK for tennis tournaments, the Supreme Court said, ""No tennis for him if he evades [the Enforcement Directorate]."" The apex court further directed the ED to fix a date for the interrogation. Karti is an accused in the INX Media and Aircel-Maxis money laundering cases."
Seriously thinking of running for US Prez: Starbucks ex-CEO,"Starbucks' former CEO Howard Schultz has said he's ""seriously thinking"" of running for the US President. The 65-year-old added he'll run as a centrist independent although he described himself as a ""lifelong Democrat"". Having worked at Starbucks for nearly four decades, Schultz is credited with expanding the Seattle-based coffeehouse chain from 11 cafes to more than 28,000 in 77 countries."
Thief steals â¹1.3cr painting from Russia gallery as witnesses watch,"A 20th-Century painting by Russian artist Arkhip Kuindzhi was stolen in broad daylight from the New Tretyakov Gallery in Moscow, Russia. Onlookers watched as the suspect removed the painting from the wall and walked out of the gallery before the alarm went off. The painting was found at a construction site after the suspect revealed the location during detention."
38 captives freed from Taliban jail by Afghan Army,"The Afghan Army has freed 38 captives from a Taliban prison in the Ghazni province,  Afghanistan's Defence Ministry said in a statement on Monday. Nine militants were killed after the Taliban clashed with the security forces during the operation. Three weapons depots and two buildings used by the militants as a prison were destroyed by the security forces."
"Rare tornado hits Cuba; 3 killed, 172 injured",At least three people were killed and 172 others were injured after a tornado hit the Cuban capital Havana. Several homes were destroyed and coastal areas were left flooded after the tornado hit the Caribbean nation on Sunday night. President Miguel DÃ­az-Canel BermÃºdez on Twitter shared images of the severe damage caused by the tornado.
Leave her alone: Kangana's sister to Krish over 'Manikarnika' row,"Actress Kangana Ranaut's sister Rangoli Chandel, while addressing the controversy surrounding the directorial credits of 'Manikarnika: The Queen of Jhansi', tweeted, ""Krish chalo man liya you directed the whole film now please calm down."" ""Kangana is the leading face of the film let her enjoy this moment of her success...please leave her alone,"" she added. "
"Policeman stopped my car, told me I'm doing the wrong films: Ranbir","Speaking at the Umang Police Show 2019, Ranbir Kapoor revealed a policeman once stopped his car and told him he's doing the wrong kind of films. ""He saw I was...inside the car, took a picture with me and gave me a lecture for half an hour,"" Ranbir added. He said the policeman told him he should play a police officer."
